B100-10;90;30
B100-11;10;50
B100-12;30;50
B100-13;50;50
B100-14;70;50
B100-15;90;50
B100-16;10;70
B100-17;30;70

B108-01;10;10
B108-02;30;10
B108-03;50;10
B108-04;70;10
B108-05;90;10
B108-06;10;30
B108-07;30;30
B108-08;50;30
B108-09;70;30
B108-10;90;30
B108-11;10;50
B108-12;30;50
B108-13;50;50
B108-14;70;50
B108-15;90;50
B108-16;10;70
B108-17;30;70
B108-18;50;70
B108-19;70;70

C102-01;90;90
C102-02;80;75
C102-03;65;65
C102-04;70;10
C102-05;90;10
C102-06;10;30
C102-07;30;30
C102-08;50;30
C102-09;70;30
C102-10;90;30
C102-11;10;50
C102-12;30;50
C102-13;50;50
C102-14;70;50
C102-15;90;50
C102-16;10;70
C102-17;30;70

C105-01;20;100
C105-02;35;25
C105-03;50;25
C105-04;80;25
C105-05;95;25
C105-06;35;40
C105-07;50;40
C105-08;80;40
C105-09;95;40
C105-10;45;70
C105-11;60;70
C105-12;80;70
C105-13;95;70
C105-14;45;85
C105-15;60;85
C105-16;80;85
C105-17;95;85

C109-01;10;10
C109-02;30;10
C109-03;50;10
C109-04;70;10
C109-05;90;10
C109-06;10;30
C109-07;30;30
C109-08;50;30
C109-09;70;30
C109-10;90;30
C109-11;10;50
C109-12;30;50
C109-13;50;50
C109-14;70;50
C109-15;90;50
C109-16;10;70
C109-17;30;70

C112-01;100;95
C112-02;100;80
C112-03;100;65
C112-04;100;50
C112-05;100;35
C112-06;100;20
C112-07;65;95
C112-08;65;80
C112-09;65;65
C112-10;65;50
C112-11;65;35
C112-12;65;20

::C115
C115-01;10;100
C115-02;60;25
C115-03;95;25
C115-04;110;25
C115-05;45;40
C115-06;60;40
C115-07;95;40
C115-08;110;40
C115-09;55;80
C115-10;70;80
C115-11;90;80
C115-12;105;80
C115-13;55;95
C115-14;70;95
C115-15;90;95
C115-16;105;95
C115-17;45;25
C115-18;75;8

::C120
C120-01;110;102
C120-02;70;85
C120-03;55;80
C120-04;60;65
C120-05;65;50
C120-06;75;70
C120-07;80;55
C120-08;20;07
C120-09;20;22
C120-10;95;40
C120-11;95;25
C120-12;35;10
C120-13;35;25
C120-14;110;88
C120-15;95;88
C120-16;110;40
C120-17;110;25
C120-18;07;88
C120-19;110;10

::C121
C121-01;120;102
C121-02;67;80
C121-03;74;67
C121-04;60;22
C121-05;60;07
C121-06;80;85
C121-07;87;70
C121-08;75;22
C121-09;75;07
C121-10;73;100
C121-11;60;94
C121-12;104;35
C121-13;117;27
C121-14;120;88
C121-15;105;88
C121-16;104;49
C121-17;118;42
C121-18;07;60

::C123
C123-01;120;105
C123-02;120;70
C123-03;120;55
C123-04;120;38
C123-05;120;23
C123-06;105;85
C123-07;105;70
C123-08;105;23
C123-09;105;8
C123-10;55;85
C123-11;55;70
C123-12;55;23
C123-13;55;8
C123-14;40;100
C123-15;40;85
C123-16;40;23
C123-17;40;8
C123-18;8;85
C123-19;8;70

:Deuxieme étage
A201-01;10;10
A201-02;30;10
A201-03;50;10
A201-04;70;10
A201-05;90;10
A201-06;10;30
A201-07;30;30
A201-08;50;30
A201-09;70;30
A201-10;90;30

A204-01;10;10
A204-02;30;10
A204-03;50;10
A204-04;70;10
A204-05;90;10
A204-06;10;30
A204-07;30;30
A204-08;50;30
A204-09;70;30
A204-10;90;30

A205-01;10;10
A205-02;30;10
A205-03;50;10
A205-04;70;10
A205-05;90;10
A205-06;10;30
A205-07;30;30
A205-08;50;30
A205-09;70;30
A205-10;90;30

A207-01;10;10
A207-02;30;10
A207-03;50;10
A207-04;70;10
A207-05;90;10
A207-06;10;30
A207-07;30;30
A207-08;50;30
A207-09;70;30
A207-10;90;30
A207-11;10;50
A207-12;30;50
A207-13;50;50
A207-14;70;50
A207-15;90;50
A207-16;10;70
A207-17;30;70
A207-18;50;70
A207-19;70;70

B204-01;10;10
B204-02;30;10
B204-03;50;10
B204-04;70;10
B204-05;90;10
B204-06;10;30
B204-07;30;30
B204-08;50;30
B204-09;70;30
B204-10;90;30
B204-11;10;50
B204-12;30;50
B204-13;50;50
B204-14;70;50
B204-15;90;50
B204-16;10;70
B204-17;30;70
B204-18;50;70
B204-19;70;70

B207-01;10;10
B207-02;30;10
B207-03;50;10
B207-04;70;10
B207-05;90;10
B207-06;10;30
B207-07;30;30
B207-08;50;30
B207-09;70;30
B207-10;90;30
B207-11;10;50
B207-12;30;50
B207-13;50;50

B208-01;10;10
B208-02;30;10
B208-03;50;10
B208-04;70;10
B208-05;90;10
B208-06;10;30
B208-07;30;30
B208-08;50;30
B208-09;70;30
B208-10;90;30
B208-11;10;50
B208-12;30;50
B208-13;50;50
B208-14;70;50
B208-15;90;50
B208-16;10;70
B208-17;30;70
B208-18;50;70

C200-01;10;10
C200-02;30;10
C200-03;50;10
C200-04;70;10
C200-05;90;10
C200-06;10;30
C200-07;30;30
C200-08;50;30
C200-09;70;30
C200-10;90;30

C204-01;10;10
C204-02;30;10
C204-03;50;10
C204-04;70;10
C204-05;90;10
C204-06;10;30
C204-07;30;30
C204-08;50;30
C204-09;70;30
C204-10;90;30

C206-01;10;10
C206-02;30;10
C206-03;50;10
C206-04;70;10
C206-05;90;10
C206-06;10;30
C206-07;30;30
C206-08;50;30
C206-09;70;30
C206-10;90;30
C206-11;10;50
C206-12;30;50
C206-13;50;50
C206-14;70;50
C206-15;90;50
C206-16;10;70
C206-17;30;70
C206-18;50;70
C206-19;70;70

C222-01;10;10
C222-02;30;10
C222-03;50;10
C222-04;70;10
C222-05;90;10
C222-06;10;30
C222-07;30;30
C222-08;50;30
C222-09;70;30
C222-10;90;30
C222-11;10;50
C222-12;30;50
C222-13;50;50
C222-14;70;50
C222-15;90;50
C222-16;10;70
C222-17;30;70
